date,cortarNo,py,change
2021-07,26170,1007.25,16.46884777581281
2021-06,26170,864.8235294117648,-14.387653605962935
2021-05,26170,1010.1621621621622,6.550767511529387
2021-04,26170,948.0571428571428,13.19709841417247
2021-03,26170,837.5277777777778,9.596467976356248
2021-02,26170,764.1923076923077,6.5616452381997314
2021-01,26170,717.1363636363636,28.021963160314844
2020-12,26170,560.1666666666666,-3.3362093758987688
2020-11,26170,579.5,-30.803795877325292
2020-10,26170,837.4736842105264,14.346488832676997
2020-09,26170,732.4,-3.681367714057582
2020-08,26170,760.3928571428571,-3.5397146078878894
2020-07,26170,788.2962962962963,-14.128943758573387
2020-06,26170,918.0,45.7803992740472
2020-05,26170,629.7142857142857,-8.003756652405302
2020-04,26170,684.5,19.807467911318554
2020-03,26170,571.3333333333334,-11.256083669876759
2020-02,26170,643.8,9.049333051026887
2020-01,26170,590.375,-20.5096270364885
2019-12,26170,742.7,9.916894353369754
2019-11,26170,675.6923076923077,4.28959834732332
2019-10,26170,647.9,-3.7653174897883446
2019-09,26170,673.25,-7.128781160705488
2019-08,26170,724.9285714285714,9.297021988255194
2019-07,26170,663.2647058823529,-16.42781133693689
2019-06,26170,793.6428571428571,13.777648245005981
2019-05,26170,697.5384615384615,17.713819449595736
2019-04,26170,592.5714285714286,-10.01193187981343
2019-03,26170,658.5,3.483499214248287
2019-02,26170,636.3333333333334,17.766810610734108
2019-01,26170,540.3333333333334,-29.87237724421371
2018-12,26170,770.5,16.21417797888387
2018-11,26170,663.0,-1.449275362318836
2018-10,26170,672.75,-9.56040509051801
2018-09,26170,743.8666666666667,7.85886901884969
2018-08,26170,689.6666666666666,39.51449763991908
2018-07,26170,494.3333333333333,-17.030323374734245
2018-06,26170,595.8,-11.585976627712856
2018-05,26170,673.875,29.487590072057657
2018-04,26170,520.4166666666666,-5.450416351249054
2018-03,26170,550.4166666666666,0.6655151391993241
2018-02,26170,546.7777777777778,-14.97779851068608
2018-01,26170,643.1,-6.7069632495164395
2017-12,26170,689.3333333333334,-3.4208990075890178
2017-11,26170,713.75,-1.344027353411903
2017-10,26170,723.4736842105264,-0.11868142514592783
2017-09,26170,724.3333333333334,3.5686624962764535
2017-08,26170,699.375,7.078412073490825
2017-07,26170,653.1428571428571,-3.4789275436393874
2017-06,26170,676.6842105263158,38.38122914648585
2017-05,26170,489.0,-21.60320641282565
2017-04,26170,623.75,13.667425968109349
2017-03,26170,548.75,-23.465829846582984
2017-02,26170,717.0,24.479166666666675
2017-01,26170,576.0,-13.807645218337639
2016-12,26170,668.2727272727273,0.8170062695924685
2016-11,26170,662.8571428571429,33.351019144891005
2016-10,26170,497.0769230769231,-24.988391889800333
2016-09,26170,662.6666666666666,9.7736057426836
2016-08,26170,603.6666666666666,21.62525184687709
2016-07,26170,496.3333333333333,-17.825607064017667
2016-06,26170,604.0,8.959711365002999
2016-05,26170,554.3333333333334,18.764506338153918
2016-04,26170,466.75,-9.719535783365574
2016-03,26170,517.0,19.537572254335256
2016-02,26170,432.5,-34.044986656500186
2016-01,26170,655.75,6.280388978930307
2015-12,26170,617.0,59.225806451612904
2015-11,26170,387.5,-27.457098283931348
2015-10,26170,534.1666666666666,-23.871733966745843
2015-09,26170,701.6666666666666,22.561863173216867
2015-07,26170,572.5,-6.57637075718015
2015-06,26170,612.8,8.70755195134314
2015-05,26170,563.7142857142857,-11.643528884908205
2015-04,26170,638.0,40.63188831741367
2015-03,26170,453.6666666666667,15.7312925170068
2015-01,26170,392.0,-43.35260115606936
2014-12,26170,692.0,11.433172302737526
2014-11,26170,621.0,42.61811023622046
2014-10,26170,435.42857142857144,-18.254961559091708
2014-09,26170,532.6666666666666,-6.658878504672893
2014-08,26170,570.6666666666666,0.7177314978232596
2014-07,26170,566.6,17.888166449934985
2014-06,26170,480.625,0.6093002392344449
2014-05,26170,477.7142857142857,-25.1817876719991
2014-04,26170,638.5,20.277179763186215
2014-03,26170,530.8571428571429,0.7701486061395091
2014-02,26170,526.8,-6.761061946902657
2014-01,26170,565.0,5.3613053613053685
2013-12,26170,536.25,19.966442953020124
2013-11,26170,447.0,-3.2886196451752503
2013-10,26170,462.2,-7.2685583261679625
2013-09,26170,498.42857142857144,2.276724643345718
2013-08,26170,487.3333333333333,2.553310886644211
2013-07,26170,475.2,-17.95580110497238
2013-06,26170,579.2,5.075589598871222
2013-05,26170,551.2222222222222,0.4047763610605104
2013-04,26170,549.0,15.255423372988108
2013-03,26170,476.3333333333333,7.621629763518589
2013-02,26170,442.6,1.0502283105022991
2013-01,26170,438.0,-6.008583690987123
2012-12,26170,466.0,11.128775834658189
2012-11,26170,419.3333333333333,-14.704635986100524
2012-10,26170,491.625,15.79756608217744
2012-09,26170,424.55555555555554,-7.40336847207077
2012-08,26170,458.5,-16.68685645063598
2012-07,26170,550.3333333333334,19.222992489890235
2012-06,26170,461.6,-1.186544342507645
2012-05,26170,467.14285714285717,7.636603028308109
2012-04,26170,434.0,-0.028793550244743393
2012-03,26170,434.125,-0.12461656441717928
2012-02,26170,434.6666666666667,6.5359477124183
2012-01,26170,408.0,11.080860332153541
2011-12,26170,367.3,-9.051998585072507
2011-11,26170,403.85714285714283,-1.9288142648997475
2011-10,26170,411.8,0.725642070933552
2011-09,26170,408.8333333333333,22.082674629662158
2011-08,26170,334.88235294117646,-24.09738147298811
2011-07,26170,441.2,19.659046881053843
2011-06,26170,368.7142857142857,42.03169711644288
2011-05,26170,259.6,-35.98027127003699
2011-04,26170,405.5,20.112559241706162
2011-03,26170,337.6,26.917293233082717
2011-02,26170,266.0,-32.99748110831234
2011-01,26170,397.0,-55.4057848918843
2025-01,26140,890.25,-2.218086404686359
2024-12,26140,910.4444444444445,-5.487680445757581
2024-11,26140,963.3076923076923,4.894808050779487
2024-10,26140,918.3559322033898,-6.462429685016657
2024-09,26140,981.804347826087,9.8455551501885
2024-08,26140,893.804347826087,-5.5114573351458525
2024-07,26140,945.939393939394,2.4319536970252242
2024-06,26140,923.4807692307693,-0.8303147260580901
2024-05,26140,931.2127659574468,-0.3377313513688418
