cortarNo,centerLat,centerLon,cortarName,cortarType
51830,38.07545,128.619,양양군,dvsn
51750,37.183769,128.461852,영월군,dvsn
51130,37.340688,127.921637,원주시,dvsn
51810,38.069725,128.17025,인제군,dvsn
51770,37.380607,128.660875,정선군,dvsn
51780,38.146682,127.313063,철원군,dvsn
51110,37.881324,127.730075,춘천시,dvsn
51190,37.164232,128.985713,태백시,dvsn
51760,37.370744,128.390066,평창군,dvsn
51720,37.697204,127.888517,홍천군,dvsn
51790,38.105933,127.707885,화천군,dvsn
51730,37.491843,127.985088,횡성군,dvsn
43760,36.815341,127.78659,괴산군,dvsn
43800,36.984774,128.365442,단양군,dvsn
43720,36.489422,127.729667,보은군,dvsn
43740,36.175026,127.783425,영동군,dvsn
43730,36.306441,127.571262,옥천군,dvsn
43770,36.93996,127.690508,음성군,dvsn
43150,37.132649,128.190925,제천시,dvsn
43745,36.785025,127.580988,증평군,dvsn
43750,36.855422,127.43561,진천군,dvsn
43111,36.634745,127.488601,청주시 상당구,dvsn
43112,36.63769,127.469488,청주시 서원구,dvsn
43114,36.651581,127.486671,청주시 청원구,dvsn
43113,36.641475,127.431534,청주시 흥덕구,dvsn
43130,36.991115,127.925896,충주시,dvsn
44250,36.274617,127.248625,계룡시,dvsn
44150,36.44656,127.119025,공주시,dvsn
44710,36.108857,127.488213,금산군,dvsn
44230,36.18724,127.098623,논산시,dvsn
44270,36.893649,126.628163,당진시,dvsn
44180,36.333412,126.61279,보령시,dvsn
44760,36.275658,126.909775,부여군,dvsn
44210,36.784808,126.4503,서산시,dvsn
44770,36.080283,126.691763,서천군,dvsn
44200,36.789831,127.002103,아산시,dvsn
44810,36.68266,126.848888,예산군,dvsn
44131,36.755923,127.214322,천안시 동남구,dvsn
44133,36.882797,127.182452,천안시 서북구,dvsn
44790,36.459151,126.802238,청양군,dvsn
44825,36.74561,126.297913,태안군,dvsn
44800,36.601324,126.660775,홍성군,dvsn
47290,35.825092,128.74135,경산시,dvsn
47130,35.856258,129.224756,경주시,dvsn
47830,35.725968,128.262688,고령군,dvsn
47190,36.119549,128.344188,구미시,dvsn
47150,36.139772,128.113615,김천시,dvsn
47280,36.586515,128.186588,문경시,dvsn
47920,36.893151,128.732584,봉화군,dvsn
47250,36.411007,128.15905,상주시,dvsn
47840,35.919176,128.282963,성주군,dvsn
47170,36.568483,128.729537,안동시,dvsn
47770,36.415099,129.365325,영덕군,dvsn
47760,36.666693,129.112275,영양군,dvsn
47210,36.805667,128.624063,영주시,dvsn
47230,35.97326,128.938613,영천시,dvsn
47900,36.657708,128.452868,예천군,dvsn
47940,37.543775,130.905775,울릉군,dvsn
47930,36.993085,129.4004,울진군,dvsn
47730,36.352706,128.697041,의성군,dvsn
47820,35.647399,128.733988,청도군,dvsn
47750,36.436285,129.056987,청송군,dvsn
47850,35.995593,128.401688,칠곡군,dvsn
47111,36.008767,129.359475,포항시 남구,dvsn
47113,36.041867,129.365688,포항시 북구,dvsn
48310,34.880457,128.621175,거제시,dvsn
48880,35.686698,127.909534,거창군,dvsn
48820,34.973098,128.322264,고성군,dvsn
48250,35.228618,128.889238,김해시,dvsn
48840,34.837707,127.892475,남해군,dvsn
48270,35.503833,128.7467,밀양시,dvsn
48240,35.003656,128.06435,사천시,dvsn
48860,35.415557,127.873463,산청군,dvsn
48330,35.335008,129.036913,양산시,dvsn
48720,35.322258,128.261675,의령군,dvsn
48170,35.180328,128.107654,진주시,dvsn
48740,35.544623,128.492208,창녕군,dvsn
48125,35.197135,128.567838,창원시 마산합포구,dvsn
48127,35.220954,128.579712,창원시 마산회원구,dvsn
48123,35.198404,128.702942,창원시 성산구,dvsn
48121,35.254028,128.640147,창원시 의창구,dvsn
48129,35.13289,128.710087,창원시 진해구,dvsn
48220,34.85439,128.433112,통영시,dvsn
48850,35.067333,127.751275,하동군,dvsn
48730,35.272333,128.406575,함안군,dvsn
48870,35.52053,127.725218,함양군,dvsn
48890,35.566665,128.165688,합천군,dvsn
52790,35.435835,126.702063,고창군,dvsn
52130,35.967718,126.736638,군산시,dvsn
52210,35.803583,126.8809,김제시,dvsn
52190,35.416432,127.390438,남원시,dvsn
